IP地址,端口,数据中心,城市,TLS,已发送,已接收,丢包率,平均延迟,下载速度(MB/s)
147.79.20.144,443,NRT,🇯🇵 JP [GitHub Actions#24 tcp-precheck],true,6,6,0.00,92.09,0.12
153.121.45.101,443,NRT,🇯🇵 JP [GitHub Actions#16 tcp-precheck],true,6,6,0.00,94.01,8.76
111.97.164.62,8443,NRT,🇯🇵 JP [GitHub Actions#04 tcp-precheck],true,6,6,0.00,94.48,19.95
118.156.166.251,443,NRT,🇯🇵 JP [GitHub Actions#08 tcp-precheck],true,6,6,0.00,94.77,47.19
138.2.5.136,443,NRT,🇯🇵 JP [GitHub Actions#17 tcp-precheck],true,6,6,0.00,110.09,4.71
207.148.107.59,443,NRT,🇯🇵 JP [GitHub Actions#02 tcp-precheck],true,6,6,0.00,133.68,61.22
207.148.108.16,443,NRT,🇯🇵 JP [GitHub Actions#19 tcp-precheck],true,6,6,0.00,140.04,1.25
211.49.57.178,443,ICN,🇰🇷 KR [GitHub Actions#01 tcp-precheck],true,6,6,0.00,60.39,57.15
211.49.57.179,443,ICN,🇰🇷 KR [GitHub Actions#03 tcp-precheck],true,6,6,0.00,60.82,7.62
85.155.176.13,8443,NRT,🇰🇷 KR [GitHub Actions#02 tcp-precheck],true,6,6,0.00,61.25,17.82
123.111.169.70,2053,ICN,🇰🇷 KR [GitHub Actions#01 tcp-precheck],true,6,6,0.00,65.65,13.93
85.155.176.11,8443,SIN,🇰🇷 KR [GitHub Actions#01 tcp-precheck],true,6,6,0.00,65.85,19.66
123.111.169.70,443,ICN,🇰🇷 KR [GitHub Actions#02 tcp-precheck],true,6,6,0.00,66.63,10.76
123.111.169.70,8443,ICN,🇰🇷 KR [GitHub Actions#03 tcp-precheck],true,6,6,0.00,66.65,5.97
123.111.169.70,2087,ICN,🇰🇷 KR [GitHub Actions#01 tcp-precheck],true,6,6,0.00,66.66,9.52
43.155.221.27,8443,ICN,🇰🇷 KR [GitHub Actions#04 tcp-precheck],true,6,6,0.00,206.36,3.43
172.64.148.105,2096,SIN,🇸🇬 SG [GitHub Actions#01 tcp-precheck],true,6,6,0.00,77.60,62.22
185.225.20.99,8443,SIN,🇸🇬 SG [GitHub Actions#02 tcp-precheck],true,6,6,0.00,180.11,0.08
104.16.204.69,2087,LAX,🇸🇬 SG [GitHub Actions#02 tcp-precheck],true,6,6,0.00,186.55,30.08
104.18.115.232,2087,LAX,🇸🇬 SG [GitHub Actions#01 tcp-precheck],true,6,6,0.00,187.36,54.05
104.24.64.97,8443,FRA,🇸🇬 SG [GitHub Actions#01 tcp-precheck],true,6,6,0.00,210.93,61.88
194.56.225.65,2053,SIN,🇸🇬 SG [GitHub Actions#01 tcp-precheck],true,6,6,0.00,274.99,11.95
